Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
USERS_TR_GETUSERPROFILE - 62,1,1375,1375,1375,0.00,0.000%,.72727,0.61,0.36,861.0
USERS_TR_GETUSERPROFILE - 66,1,1378,1378,1378,0.00,0.000%,.72569,0.61,0.36,862.0
USERS_TR_GETUSERPROFILE - 88,1,1436,1436,1436,0.00,0.000%,.69638,0.59,0.34,861.0
USERS_TR_GETUSERPROFILE - 84,1,1349,1349,1349,0.00,0.000%,.74129,0.62,0.37,862.0
USERS_TR_LOGOUTUSER - 13,1,1362,1362,1362,0.00,0.000%,.59701,0.38,0.35,655.0
USERS_TR_LOGINUSER - 18,1,2056,2056,2056,0.00,100.000%,.48497,0.31,0.22,665.0
USERS_TR_ADDUSER - 92,1,1966,1966,1966,0.00,0.000%,.50865,0.63,0.17,1266.0
USERS_TR_UPDATEUSER - 60,1,1946,1946,1946,0.00,0.000%,.51335,0.43,0.37,863.0
USERS_TR_UPDATEUSER - 61,1,1901,1901,1901,0.00,0.000%,.52604,0.44,0.38,862.0
USERS_TR_LOGOUTUSER - 6,1,1673,1673,1673,0.00,0.000%,.50480,0.32,0.29,655.0
USERS_TR_UPDATEUSER - 52,1,1947,1947,1947,0.00,0.000%,.51361,0.43,0.37,862.0
USERS_TR_UPDATEUSER - 69,1,1897,1897,1897,0.00,0.000%,.52715,0.44,0.38,863.0
USERS_TR_LOGINUSER - 11,1,1955,1955,1955,0.00,0.000%,.50378,0.62,0.22,1258.0
USERS_TR_GETUSERPROFILE - 81,1,1059,1059,1059,0.00,0.000%,.94429,0.80,0.47,865.0
USERS_TR_GETUSERPROFILE - 89,1,1061,1061,1061,0.00,0.000%,.94251,0.80,0.46,865.0
USERS_TR_GETUSERPROFILE - 91,1,1059,1059,1059,0.00,0.000%,.94429,0.80,0.47,866.0
USERS_TR_LOGINUSER - 24,1,1968,1968,1968,0.00,0.000%,.50378,0.62,0.22,1259.0
USERS_TR_LOGINUSER - 10,1,2054,2054,2054,0.00,0.000%,.48614,0.60,0.22,1258.0
USERS_TR_LOGINUSER - 9,1,1973,1973,1973,0.00,100.000%,.50480,0.33,0.23,665.0
USERS_TR_UPDATEUSER - 55,1,1973,1973,1973,0.00,0.000%,.50684,0.43,0.37,862.0
USERS_TR_UPDATEUSER - 47,1,1977,1977,1977,0.00,0.000%,.50582,0.43,0.37,863.0
USERS_TR_LOGINUSER - 34,1,2053,2053,2053,0.00,0.000%,.48520,0.60,0.22,1260.0
USERS_TR_UPDATEUSER - 36,1,1974,1974,1974,0.00,0.000%,.50659,0.43,0.37,863.0
